wallet_address,twitter_handle,twitter_name,wallet_type,tier,pnl_7d,winrate_7d,followers,tags
3B7Fzx6yCVCVhvVcFjgisu5FvGwpp7VFsKYVvnRNpktx,,"",smart_money,pro,6629.90,45.8%,1,"smart_degen"
4jM1CiuDvXNmd8NwPMnqgpmtsKLVi1t5YYTWRbibq4gv,,"",fresh_wallet,pro,6542.83,79.6%,75,"fresh_wallet"
GBeuq1LCo7A1VvZ5cwAQWKqXZXwemrLW97qAMF9YKpz7,,"",smart_money,pro,6488.58,67.2%,142,"smart_degen"
Gwk2S8xumrwaWQCKf1rwoGg3RS2rUx2GUCfiiE7Mm3QA,,"",smart_money,pro,6445.92,43.4%,115,"smart_degen"
D3C1Lh9x88kTBdysNiZ7QRfYZTC8T5u1Sjj7f7G64Bah,,"",smart_money,pro,6347.71,40.9%,165,"axiom, smart_degen"
5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,,"",smart_money,pro,6320.43,60.1%,433,"axiom, bullx, gmgn, smart_degen"
EWqJSy2C1vWbGp4D9edtUbBJZ6yJW16hgYtw4BdfMXwM,,"",smart_money,pro,6285.53,43.8%,164,"padre, smart_degen"
FTaSBuVj6w2S7XUa8fw19xrLy57DDr6kZDL6sxDXtvTP,,"",smart_money,pro,6272.99,60.0%,283,"gmgn, smart_degen"
3H6xxis3gBd5A47MzyoeggvAo2dGxtZNm9BMNDP2Fx44,,"",smart_money,pro,6268.45,34.2%,11,"smart_degen"
HQLeWLJRfhnzq4Ucdn3V1vgSw5ZLxRXT6QQa5bASXSdu,,"",smart_money,pro,6230.83,58.8%,957,"axiom, gmgn, padre, smart_degen"
GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,Latuche95,"Latuche",kol,pro,6207.69,43.5%,23103,"app_smart_money, kol, padre, photon, top_followed, top_renamed"
ENkZtLj1onzQRGnEeRkQfFzBeeY2dCeiQMXDzh8XbQbj,game_for_one,"Game",kol,pro,6043.37,55.6%,1299,"arbitrager, kol"
8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4,,"",smart_money,pro,6040.94,36.0%,852,"axiom, padre, smart_degen"
HF2EGxkKXRhdR93ZN5fY925PpecZDwRfKwhag6mvFMLW,,"",smart_money,pro,6028.88,49.3%,131,"smart_degen"
2k7Mnf2K3GhpB7hEVN1CFFeV4oNzzuCS5Q6SmcfAoLHd,,"",smart_money,pro,5784.58,47.6%,362,"axiom, padre, smart_degen"
8FiuwM6FmVKmBLCaJ6QcNScnVw4NuNs7Tt4Skf91saF8,,"",smart_money,pro,5627.51,66.4%,572,"axiom, smart_degen"
gecko1QDvtNHwqY5SjXLzuDmGDUnzu7ZEmtGHRFLr9v,,"",smart_money,pro,5603.35,56.3%,143,"smart_degen"
ARC5JvKVCcnitPgTmmqV9xc1FJUPB43AEWPU1iMdYM7k,,"",smart_money,pro,5597.81,54.0%,92,"axiom, gmgn, smart_degen"
GqYUUbABiSbyQE215jeAUiiefAEo5qRZ65QdHf4ELEw2,,"",smart_money,pro,5573.06,52.9%,299,"smart_degen"
HcPn6tV6aHtnk3ABpmtfvv19kfsLGh8cvAYfb7eydtEn,,"",smart_money,pro,5561.61,42.6%,39,"gmgn, smart_degen"
BmXugVGYfGMj9QRLkdcEGijGgWo4X558tV1QR6ih2eE4,,"",smart_money,pro,5544.04,48.7%,291,"axiom, smart_degen"
FpD6n8gfoZNxyAN6QqNH4TFQdV9vZEgcv5W4H2YL8k4X,hesiitations,"Hesi",kol,pro,5493.95,35.3%,3995,"axiom, gmgn, kol, padre"
H4K5LjkjXVRBsQXJig3xq9L6co6SfoqRiqnih5iohX9A,,"",smart_money,pro,5479.76,66.7%,174,"axiom, bullx, smart_degen"
9GNHFWmVEw3Mbrh8Rrz1fTJMv36SxsuQrMtCq7tmrN3K,,"",smart_money,pro,5439.60,34.8%,20,"smart_degen"
6Y7VzR1dcfUyGCbUS9b5PiWhRCN7Hg5NAVUWV9gaMks1,,"",smart_money,pro,5400.84,40.5%,13,"smart_degen"
FHSkwE7z8q7mXH4ZkCF8DhY5RDS4x4vkNetPaRr6dFiW,,"",smart_money,pro,5397.58,75.0%,70,"axiom, smart_degen"
Bz429AezLuxgftrYKGCaTJsjZBN6LibmYp9eVfL9MXZ9,,"",smart_money,pro,5301.78,81.8%,223,"smart_degen"
6MywCnbuUDj6HjDHAtTzsJjMjj2Jh9YufnmiPXa4RU1G,,"",smart_money,pro,5294.26,69.2%,185,"axiom, smart_degen"
HappyEZXgddv6SacpeZfUPY8A6ZsWTePX6A12UPYxtEu,,"",smart_money,pro,5281.69,98.9%,37,"smart_degen"
BRDG6WL3UzDGKgaz6jxrvsrSXDsqhKNFy9bfHparH435,,"",smart_money,pro,5216.60,59.4%,66,"smart_degen"
CnZCvNgFjr7cK9ZwjowTHLkjQCfusnRJwjfxmMVXfp4f,,"",smart_money,pro,5213.94,42.3%,5,"smart_degen"
ECa6q9uC9LaYYBekJ7ApD2EoKy3VKy7WZv863cg5pqM8,ochouso,"Ochouso 🦈",smart_money,pro,5200.93,39.7%,108,"axiom, gmgn, smart_degen"
J485YzQjuJPLYoFEYjrjxd7NAoLHTiyUU63JwK7kLxRr,HunterOnlyETH,"金狗挖掘机 | 0xDavid",kol,pro,5141.02,66.0%,16127,"app_smart_money, axiom, gmgn, kol, launchpad_smart, top_followed, top_renamed"
AuNGDPFKkD1Qb5H8teEwcTXoDj2XWz4JNmHVpXmXVM35,,"",smart_money,pro,5067.84,47.5%,62,"smart_degen"
CQ4n79cjiQ3tRSMFTGzKPSYoCaazfuCGu2Y7Hzd1aUj2,,"",smart_money,pro,5056.58,41.7%,125,"smart_degen"
teddyYXw7aiNpDuQCeLb2YiBJhqthBid4C54BuWcPxm,,"",smart_money,pro,5037.26,46.6%,89,"padre, smart_degen"
94LBANHCUJCBRcKB3z1x55R951j1PS6GM1jPSGQHDPrU,,"",smart_money,rising,4876.31,53.3%,12,"padre, smart_degen"
sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT,pr6spr,"Ethan Prosper",kol,rising,4868.61,45.7%,13909,"app_smart_money, axiom, gmgn, kol, launchpad_smart, padre, top_followed, top_renamed"
kapRxcwXvkdCLgbc6WuxQtkTYYovs7buJ3hbMp4Xri2,,"",smart_money,rising,4796.19,68.5%,61,"smart_degen"
6e76hGXU1A4e59bKoygSCww7Fz7kt5EmSKG6V6ngoDiH,,"",smart_money,rising,4794.86,34.2%,17,"smart_degen"
DwWuSoFa1gtNPbDxMRpDnQy7KnaLqBqDA9cHqM3TnsLw,,"",smart_money,rising,4759.71,59.6%,137,"pepeboost, smart_degen"
8hfoNZCd2bK9aqCBkhg8f2L1AoL7qfHwd9tMv7x64qui,,"",smart_money,rising,4759.60,100.0%,91,"smart_degen"
4xnwVgxSGxYZvX13t5mj47UaNnDbbNuWnRXjuiJ9gfdJ,,"",fresh_wallet,rising,4709.40,84.6%,7,"fresh_wallet"
7bPbnMHqTF4Jikdj83FYQnciEoJrPF49e6HE7imWGkJD,,"",smart_money,rising,4683.93,34.2%,68,"smart_degen"
1aC2FgH1tujX87Bv9yMVbda2sPiRDNCsjMJoJjw3n6C,,"",smart_money,rising,4622.94,46.4%,3,"axiom, smart_degen"
CpXj3LYsfet6EkXkj8K5UvGA8ozC4x4i8EivvyRQZBmA,,"",fresh_wallet,rising,4615.29,74.5%,12,"fresh_wallet"
FF6SaqKQcWZsaURdyvZCywmnLw4EFQaBkr6nxASME3Df,N9ine369,"n9ine.369",smart_money,rising,4614.84,36.1%,22,"gmgn, smart_degen"
5TWHVXZCZDG4HFZyYPhv8uKo5CHmrX6xHxYctBXQZYQW,,"",smart_money,rising,4613.48,44.9%,2,"smart_degen"
8p4FzY2KRwoWzaWCuYuBXgSPDNnjr9gian2hpNwwCTFs,,"",smart_money,rising,4565.09,95.8%,482,"photon, smart_degen"
CAmNcBJ82xr1tzXrwZ6tZKwEFs26TG8kT6dJeR1bxjW9,,"",smart_money,rising,4547.32,49.3%,467,"smart_degen"
8npcuzpZ7CzQb6JwCyQGHZpoLnP9Hy3Bg6h8xxjnDL6B,,"",smart_money,rising,4502.58,75.0%,37,"axiom, smart_degen"
G5nGszFTvbcoVEQqek9qStAT76ffLmjr4UzEtMoouizp,,"",smart_money,rising,4382.61,45.4%,122,"smart_degen"
7pDhG6NqfzQzw5KvtGXJbVRUh4iTBgYAn68BSKjdMNC1,Brian_Degens,"Degenerate Brian",kol,rising,4341.57,36.2%,1957,"axiom, bullx, kol, launchpad_smart, top_followed, trojan"
G8CwQWHPQDr5xY5oDeU3Lnuon87DdmLSTxAZR6ZdbBDT,,"",smart_money,rising,4315.43,61.5%,38,"axiom, smart_degen"
DxExDcPTn3sT41NUR13e24nMFPqBSyDBw1vknbZBQYbq,,"",smart_money,rising,4270.50,54.1%,40,"axiom, smart_degen"
